Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
90710,25457,36.7,12291,13166,8717,2.91
91105,11254,49,5432,5822,5213,2.07
91803,30322,39.6,14486,15836,9894,3.04
90247,47487,35.5,23217,24270,15830,2.96
91342,91725,31.9,45786,45939,23543,3.83
90002,51223,25.5,24876,26347,11731,4.36
91204,16032,38.1,7699,8333,5639,2.76
90720,21751,41.7,10423,11328,7789,2.74
91324,27669,36.5,13545,14124,9289,2.95
91201,22781,40.4,11123,11658,8150,2.78
90011,103892,26.2,52794,51098,22168,4.67
90740,23729,57.5,10423,13306,12830,1.83
90304,28210,28.1,14503,13707,6634,4.22
90302,29415,32.8,13803,15612,10684,2.74
91791,32414,38,15512,16902,10236,3.15
90249,26669,37.2,12897,13772,8880,2.98
90291,28341,37.6,14757,13584,14261,1.95
91040,20372,43.3,10120,10252,7359,2.72
91755,27496,43.4,13271,14225,8760,3.12
90262,69745,27.8,33919,35826,14669,4.57
91784,25938,44.5,12729,13209,8934,2.9
91601,37180,32.9,18932,18248,15970,2.32
93534,39341,31.1,18601,20740,14038,2.74
93553,2138,43.3,1121,1017,816,2.62
90822,117,63.9,109,8,2,4.5
91711,35705,38.6,16777,18928,11868,2.58
91006,31715,42.7,15283,16432,10652,2.98
91710,80358,33,42283,38075,21952,3.43
91355,32605,38.8,15773,16832,12772,2.51
90265,18116,46.5,9159,8957,7174,2.39
