Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
90502,18010,40.2,8811,9199,5717,2.94
90732,21115,45,9843,11272,8611,2.38
90291,28341,37.6,14757,13584,14261,1.95
91722,34409,34,16859,17550,10079,3.41
90221,53704,26.7,26346,27358,11630,4.57
90703,49399,43.9,23785,25614,15604,3.16
90044,89779,28.6,43128,46651,25144,3.55
91377,13811,41.7,6641,7170,5158,2.68
91311,36557,42.7,17838,18719,13425,2.66
91325,32417,35.4,15819,16598,11825,2.72
90601,31974,36.6,15312,16662,11027,2.89
90275,41804,47.8,20283,21521,15618,2.65
90503,44383,40.8,21481,22902,17183,2.55
90090,0,0,0,0,0,0
90001,57110,26.6,28468,28642,12971,4.4
90810,36735,31.8,18067,18668,9289,3.9
91361,20438,47.6,9854,10584,8374,2.43
91763,36375,30.8,18099,18276,9450,3.81
90822,117,63.9,109,8,2,4.5
93550,74929,27.5,36414,38515,20864,3.58
91201,22781,40.4,11123,11658,8150,2.78
90006,59185,32.4,30254,28931,18617,3.13
90262,69745,27.8,33919,35826,14669,4.57
90745,57251,37.1,27754,29497,15210,3.73
90089,3217,19.3,1436,1781,31,1.94
90272,22986,47.3,10952,12034,9212,2.49
90650,105549,32.5,52364,53185,27130,3.83
91405,51145,32.6,25498,25647,16256,3.11
91040,20372,43.3,10120,10252,7359,2.72
90710,25457,36.7,12291,13166,8717,2.91
